,url,label
0,365rosaries.blogspot.com/2010/08/august-31-saint-raymond-nonnatus.html,good
1,accountswolverhampton.co.uk/,good
2,tube8vidsdst.ddns.name/2013/girl-fucked-by-dog.avi.exe,bad
3,amphilsoc.org/mole/view?docId=ead/Mss.Ms.Coll.31-ead.xml,good
4,answers.yahoo.com/question/index?qid=20081231071237AAcrKWw,good
5,anthologyfilmarchives.org/schedule/,good
6,boschetto-hotel.gr/inddex.html,bad
7,aol.sportingnews.com/ncaa-football/team-schedule/86/texas-tech-red-raiders,good
8,nsr666.com/domain/index.php,bad
9,refund-hmrc.uk-6159368de39251d7a-login.id-107sbtd9cbhsbtd5d80a13c0db1f546757jnq9j5754675753623164.aquaticlivestock.org/,bad
10,lightningvn.com/DHl/indxvauch.php,bad
11,inkisoro.com/Finance/filewords/,bad
12,90minutesstrong.wordpress.com/2011/11/22/the-impact-freddy-adu-will-have-in-montreal/,good
13,hmrc.gsigov.co.uk/vat.exe,bad
14,ansible.co.uk/writing/boucher.html,good
15,akamaitv4pc.com/kat-tun-%E3%80%8Crun-for-you%E3%80%8D-%E3%82%AB%E3%83%9F%E3%82%B9%E3%83%B3%EF%BC%81%E3%83%BBcoming-soon%EF%BC%81%EF%BC%8120110801/,good
16,broadtech.co/HSBC_BANK_STORAGE/payment-document.html,bad
17,animalsfucking.blogspot.com/,good
18,al.facevena.xyz/app/facebook.com/?lang=en&amp;key=xVUBIwkXz62C3TqhSqKuRR60uKmh26VkydP5YB69RebtCEjZcIs0wlWRknWbfSHXxKfArtxhrdB7pR29LTDbVFeeQt2JYufWNKyFP3vgnFyp5gEEvXswNuF5PAZW1LIzInGq0lvOsLP8PGSdp7g4swkn88FB62bMwtGsmZdEzK8hTEXgEEvv0Ig0KdylnMSOFSbXrFaC,bad
19,leticiaaraujo.com.br/Santander%5FVan%5FGog%5FPessoa%5FFisica02/cotent/,bad
20,jjdstorage.com/image/userfiles/paypal-com.webscrcgilogin.dispatch.455935L4RQUSF942L5Lfdsqf/,bad
21,americanidiotthemusical.com/team.php,good
22,down24607182.yyk2.com/index.html?%2F41752%2Fzol1%2Fï¿½ï¿½ï¿½<br/>pdfï¿½à¼­ï¿½ï¿½.exe,bad
23,angelfloresjr.multiply.com/journal/item/962/Clement_Greenberg_and_Harold_Rosenberg_the_Scylla_and_Charybdis_of_postwar_American_art_criticism._,good
24,1476675136.xiazaidown.com/cx/160624/6/chaojibiajiqiv2.3@152_<br/>75556.exe,bad
25,176.103.55.73/chipdd2.exe,bad
26,adamipodreviews.blogspot.com/2010/08/spy-glass-blue-shadows.html,good
27,iwhab.randbinternationaltravel.com/etuwotsols/phydretack/psyveshool/files/,bad
28,americanfootball.betsplayer.com/,good
29,academic.research.microsoft.com/Author/1568282/renata-pontin-de-mattos-fortes,good
30,ac360.blogs.cnn.com/2009/06/23/the-shot-basketball-flip/,good
31,4megaupload.com/808s-heartbreak.html,good
32,answers.yahoo.com/question/index?qid=20080610002400AAua3zK,good
33,acronyms.thefreedictionary.com/Borden+Ladner+Gervais+LLP,good
34,static.tweakbit.com/en/driver-updater/wcmb/stub/driver-updat<br/>er-setup.exe,bad
35,answers.yahoo.com/question/index?qid=20080321071950AAJYLIe,good
36,4megaupload.com/monica-mattos-chupando-o-cavalo.html,good
37,allwomenstalk.com/who-wore-herve-leger-better-nicole-scherzinger-or-amy-smart/,good
38,answers.yahoo.com/question/index?qid=20080513104715AAF0hap,good
39,aimeeleesadventures.blogspot.com/,good
40,70shorrorfilms.com/,good
41,boutiquestyle.com.br/download/access/login/,bad
42,westjordanutahmortgage.com/wp-content/plugins/LayerSlider/static/codemirror/addon/,bad
43,shopperelle.it/alibaba/index.php?email=,bad
44,adamvs.blogspot.com/2007/02/knowledge-and-experience-plato-vs-kant.html,good
45,acronyms.thefreedictionary.com/Roaming+Replicator,good
46,agonist.org/newswire,good
47,actors.pick2web.com/363/eddiegriffin,good
48,eltast.net/deew/six/A0l101.html,bad
49,1337x.org/torrent/191829/Card-Captor-Sakura-OST-1-4-Movie-1-2-OST-Lossy-Mp3-128-320kbps-Tntvillage/,good
50,1971fbcards.blogspot.com/2010/01/san-diego-chargers.html,good
51,trahic.ru/5ebydvkrgw04am7wjly,bad
52,answers.yahoo.com/question/index?qid=20111028215542AAa5ewO,good
53,ags.skyharbors.com/airlines/index.html,good
54,aoc.mcgill.ca/greatest-mcgillians,good
55,serv07cp05lc.wixnet.com.br/~alegria/en/Bankofamerica.redirect.html,bad
56,aep-inc.net/,good
57,abmp3.com/download/7913168-dum-maro-dum-www-songs-pk.html,good
58,1530wjjg.com/,good
59,allshallperish.enjin.com/,good
60,acronyms.thefreedictionary.com/Ordre+des+Ing%c3%a9nieurs+du+Qu%c3%a9bec,good
61,apcmag.com/forum.htm?g=posts&m=1588,good
62,abcsearch.info/company/WBC.html,good
63,downloads.tweakbit.com/en/driver-updater/default/test/stub/d<br/>river-updater-setup.exe,bad
64,coalimpex.com/web/boleto2.jpg,bad
65,acilr-cdril.com/CD_No1/A_Web/Ister/FaxSennet19pages.htm,good
