,url,label
0,gravityexp.com/go.php?sid=12,bad
1,ceresorganics.in/etcc/leo/mremmz/iiii.html,bad
2,utamu.ac.ug/components/com_config/view/config/tmpl/ama/Amazon/Amazon/index/?7574616d752e61632e7567,bad
3,sintaxedigital.com.br/dosecerta/wp-admin/js/Assurance/Ameli/PortailAS/appmanager/PortailAS/assure_somtc=true/b354533c212d3d507ae14b4db332e8e9,bad
4,abbott.epsb.ca/,good
5,1972topps.blogspot.com/2009/03/77-ron-theobald.html,good
6,palmerstonretreat.com.au/file/account/index.htm,bad
7,ask.cincinnatibell.com/customer_support/business/product_support/internet/zoomtown/email/,good
8,tecnocuer.com,bad
9,answers.yahoo.com/question/index?qid=20070827181258AA90XZd,good
10,almubarakagricbiz.com/almuba/propertyy/index.html?,bad
11,aboutmarcshmuger.org/,good
12,camorg.net/works/docs/basement,bad
13,abnharmerauctions.com/canadabanknotes.aspx,good
14,professionalblackbook.com/,bad
15,service-helpdesk89.stinge.com,bad
16,answers.yahoo.com/question/index?qid=20110129223715AAyZUme,good
17,onbison.net/demo/Gdrived/b70504c6a86383c316fda147ab72d195,bad
18,bilder-upload.eu/thumb/02b7bd-1408995631.jpg,bad
19,aptekazmisiem.pl/logs/en/B/,bad
20,answers.encyclopedia.com/question/founded-port-royal-78857.html,good
21,archives.cbc.ca/sports/olympics/clips/7333/,good
22,brahaemy.ro/xmlrpc/h/hero/us-mg5.mail.yahoo.com/success.php?neo.launch?.rand=1qhua0f7o2jut,bad
23,articles.sfgate.com/1996-07-24/news/17778248_1_jessica-mitford-funeral-industry-muckraker,good
24,angie.datavibe.net/madmikeWDET/,good
25,ceipersonal.com.br/wp-includes/customize/message/index.html,bad
26,worldpresssuccess.com/readon/onlin/fdf7a9dbb2b8d31181638efb1ddef533,bad
27,astuin.org/rgdcdds/aos/aos/aos/index.htm,bad
28,antler.collettecommunication.com/,good
29,two-of-us.at/images/1.exe,bad
30,inkisoro.com/Finance/filewords,bad
